Timestep, Roll, Pitch, Yaw
0, 0.0, -0.0, 0.0
1, 0.0, -0.0, 0.01
2, 0.0, -0.0, 0.02
3, 0.0, -0.0, 0.03
4, 0.0, -0.0, 0.04
5, 0.0, -0.0, 0.05
6, 0.0, -0.0, 0.06
7, 0.0, -0.0, 0.07
8, 0.0, -0.0, 0.08
9, 0.0, -0.0, 0.08999999999999998
10, 0.0, -0.0, 0.09999999999999999
11, 0.0, -0.0, 0.11
12, 0.0, -0.0, 0.12
13, 0.0, -0.0, 0.13
14, 0.0, -0.0, 0.14
15, 0.0, -0.0, 0.15
16, 0.0, -0.0, 0.16000000000000003
17, 0.0, -0.0, 0.17
18, 0.0, -0.0, 0.18
19, 0.0, -0.0, 0.19
20, 0.0, -0.0, 0.2
21, 0.0, -0.0, 0.21
22, 0.0, -0.0, 0.22
23, 0.0, -0.0, 0.23
24, 0.0, -0.0, 0.24
25, 0.0, -0.0, 0.25
26, 0.0, -0.0, 0.26
27, 0.0, -0.0, 0.27
28, 0.0, -0.0, 0.28
29, 0.0, -0.0, 0.29
30, 0.0, -0.0, 0.3
31, 0.0, -0.0, 0.31
32, 0.0, -0.0, 0.32
33, 0.0, -0.0, 0.33
34, 0.0, -0.0, 0.34
35, 0.0, -0.0, 0.35000000000000003
36, 0.0, -0.0, 0.36
37, 0.0, -0.0, 0.37
38, 0.0, -0.0, 0.38
39, 0.0, -0.0, 0.39
40, 0.0, -0.0, 0.4
41, 0.0, -0.0, 0.41000000000000003
42, 0.0, -0.0, 0.42
43, 0.0, -0.0, 0.43
44, 0.0, -0.0, 0.44000000000000006
45, 0.0, -0.0, 0.45
46, 0.0, -0.0, 0.46
47, 0.0, -0.0, 0.47000000000000003
48, 0.0, -0.0, 0.48
49, 0.0, -0.0, 0.49
50, 0.0, -0.0, 0.5
51, 0.0, -0.0, 0.51
52, 0.0, -0.0, 0.52
53, 0.0, -0.0, 0.53
54, 0.0, -0.0, 0.5399999999999999
55, 0.0, -0.0, 0.55
56, 0.0, -0.0, 0.56
57, 0.0, -0.0, 0.5700000000000001
58, 0.0, -0.0, 0.58
59, 0.0, -0.0, 0.59
60, 0.0, -0.0, 0.6
61, 0.0, -0.0, 0.61
62, 0.0, -0.0, 0.62
63, 0.0, -0.0, 0.63
64, 0.0, -0.0, 0.6400000000000001
65, 0.0, -0.0, 0.6499999999999999
66, 0.0, -0.0, 0.66
67, 0.0, -0.0, 0.67
68, 0.0, -0.0, 0.68
69, 0.0, -0.0, 0.6900000000000001
70, 0.0, -0.0, 0.7000000000000001
71, 0.0, -0.0, 0.71
72, 0.0, -0.0, 0.7199999999999999
73, 0.0, -0.0, 0.73
74, 0.0, -0.0, 0.74
75, 0.0, -0.0, 0.75
76, 0.0, -0.0, 0.76
77, 0.0, -0.0, 0.7699999999999999
78, 0.0, -0.0, 0.7800000000000001
79, 0.0, -0.0, 0.79
80, 0.0, -0.0, 0.8
81, 0.0, -0.0, 0.81
82, 0.0, -0.0, 0.8200000000000001
83, 0.0, -0.0, 0.8300000000000001
84, 0.0, -0.0, 0.84
85, 0.0, -0.0, 0.85
86, 0.0, -0.0, 0.86
87, 0.0, -0.0, 0.87
88, 0.0, -0.0, 0.88
89, 0.0, -0.0, 0.89
90, 0.0, -0.0, 0.9
91, 0.0, -0.0, 0.91
92, 0.0, -0.0, 0.92
93, 0.0, -0.0, 0.93
94, 0.0, -0.0, 0.9400000000000001
95, 0.0, -0.0, 0.9500000000000001
96, 0.0, -0.0, 0.96
97, 0.0, -0.0, 0.97
98, 0.0, -0.0, 0.98
99, 0.0, -0.0, 0.99
100, 0.0, -0.0, 1.0
101, 0.0, -0.0, 1.01
102, 0.0, -0.0, 1.02
103, 0.0, -0.0, 1.03
104, 0.0, -0.0, 1.04
105, 0.0, -0.0, 1.05
106, 0.0, -0.0, 1.06
107, 0.0, -0.0, 1.07
108, 0.0, -0.0, 1.08
109, 0.0, -0.0, 1.09
110, 0.0, -0.0, 1.1
111, 0.0, -0.0, 1.11
112, 0.0, -0.0, 1.12
113, 0.0, -0.0, 1.1300000000000001
114, 0.0, -0.0, 1.1400000000000001
115, 0.0, -0.0, 1.1500000000000001
116, 0.0, -0.0, 1.16
117, 0.0, -0.0, 1.17
118, 0.0, -0.0, 1.18
119, 0.0, -0.0, 1.19
120, 0.0, -0.0, 1.2
121, 0.0, -0.0, 1.21
122, 0.0, -0.0, 1.22
123, 0.0, -0.0, 1.23
124, 0.0, -0.0, 1.24
125, 0.0, -0.0, 1.25
126, 0.0, -0.0, 1.26
