[-0.04215624 -0.22701368  5.22764703]
[-0.04208469 -0.17704272  5.22934544]
[-0.04201315 -0.12708297  5.2313473 ]
[-0.04194161 -0.0771205   5.23327565]
[-0.04187003 -0.02713035  5.23418675]
[-0.04179844  0.02286599  5.23373176]
[-0.04172687  0.07284865  5.23242152]
[-0.0416553   0.12283133  5.23110859]
[-0.04107574  0.17280798  5.22999758]
[-0.03572744  0.22250631  5.22998418]
[-0.02866923  0.2720039   5.23036671]
[-0.02327333  0.32170474  5.23036413]
[-0.02113408  0.37164351  5.2296111 ]
[-0.02164636  0.4216195   5.22825095]
[-0.02345535  0.47155863  5.22659525]
[-0.02604568  0.52145723  5.22476194]
[-0.02958252  0.57128892  5.22271389]
[-0.0342333   0.62101817  5.22041373]
[-0.03935091  0.67069733  5.21800808]
[-0.04504404  0.72030628  5.2154726 ]
[-0.0533002   0.76950484  5.21236136]
[-0.06696963  0.81736802  5.20804575]
[-0.08723959  0.86265463  5.2022852 ]
[-0.11420926  0.90407691  5.19508907]
[-0.1475615   0.94024808  5.18656436]
[-0.18665152  0.96982006  5.176892  ]
[-0.23022655  0.99272042  5.17088551]
[-0.27936266  1.00001113  5.17472652]
[-0.32777056  0.99123619  5.18208416]
[-0.36889598  0.96420883  5.1886866 ]
[-0.39768516  0.92385288  5.19335547]
[-0.41512119  0.87718066  5.19623185]
[-0.42454253  0.82813744  5.19783824]
[-0.42924334  0.77837535  5.19869514]
[-0.43225413  0.72848334  5.19975078]
[-0.4346496   0.67921869  5.20757425]
[-0.4366413   0.63031334  5.2143884 ]
[-0.43865795  0.60053874  5.216301  ]
